Meteric,frechet,frechet,frechet,frechet,frechet,frechet,fde,fde,fde,fde,fde,fde,ade,ade,ade,ade,ade,ade,ade_match,ade_match,ade_match,ade_match,ade_match,ade_match,tc,tc,tc,tc,tc,tc,nDTW,nDTW,nDTW,nDTW,nDTW,nDTW
Model,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR
stop,13.657,62.557,43.562,32.777,43.294,43.519,13.645,54.726,38.101,23.476,23.525,43.143,8.413,34.141,30.107,20.615,21.987,29.795,3.0,26.537,21.94,14.652,16.785,20.094,0.8,0.55,0.5,0.45,0.35,0.35,0.615,0.243,0.215,0.391,0.393,0.169
go,16.177,64.713,80.388,71.612,41.46,26.534,16.177,61.839,31.293,22.405,41.46,26.534,13.733,45.973,25.059,31.886,24.458,18.029,1.628,33.404,15.192,25.111,17.598,6.416,0.75,0.5,0.5,0.75,0.5,0.5,0.606,0.115,0.117,0.332,0.306,0.326
take,16.783,51.628,66.174,59.26,17.652,13.161,4.67,48.754,17.078,9.997,17.652,13.161,12.739,30.982,17.605,20.357,6.619,9.798,8.507,22.285,9.134,17.62,2.391,2.913,0.75,0.75,1.0,1.0,0.5,0.75,0.616,0.386,0.131,0.614,0.555,0.534
turn,16.229,54.521,45.194,43.375,51.465,39.633,16.229,45.737,39.152,33.27,27.163,38.71,8.472,29.837,30.984,24.272,27.886,22.356,3.304,22.532,22.764,17.724,21.373,13.573,0.666,0.5,0.444,0.444,0.333,0.222,0.541,0.209,0.225,0.352,0.341,0.15
change,5.369,16.086,25.808,3.128,45.029,18.959,5.369,16.086,25.808,3.128,45.029,18.959,2.198,3.971,21.497,2.95,13.056,24.519,0.562,2.35,13.519,0.471,13.686,14.282,1.0,1.0,1.0,1.0,0.0,1.0,0.77,0.304,0.0,0.759,0.0,0.0
drive,38.634,34.144,43.205,59.152,41.526,92.226,38.634,34.144,43.205,38.256,41.526,84.663,15.116,20.222,27.013,47.883,27.249,75.571,7.528,15.428,12.154,31.808,17.722,57.556,0.0,0.333,0.0,0.0,0.0,0.0,0.224,0.343,0.134,0.027,0.185,0.094
park,13.329,15.709,27.527,26.923,42.268,80.496,13.329,15.709,27.527,14.385,42.268,79.238,7.837,9.255,16.22,20.441,16.748,51.552,2.508,3.108,6.64,11.206,11.289,38.359,0.8,0.6,0.4,0.6,0.4,0.4,0.603,0.495,0.384,0.501,0.356,0.038
wait,2.574,81.177,77.017,12.032,54.664,68.753,2.574,81.017,77.017,12.032,54.664,68.753,5.107,60.006,43.453,6.653,31.646,38.052,0.157,52.411,29.09,0.919,15.405,21.403,1.0,0.0,0.0,1.0,0.0,0.0,0.942,0.0,0.0,0.726,0.0,0.0
continue,2.574,81.177,77.017,12.032,54.664,68.753,2.574,81.017,77.017,12.032,54.664,68.753,5.107,60.006,43.453,6.653,31.646,38.052,0.157,52.411,29.09,0.919,15.405,21.403,1.0,0.0,0.0,1.0,0.0,0.0,0.942,0.0,0.0,0.726,0.0,0.0
