,command,sub_command_0,sub_command_1
0,park next to the green garbage dumps,park next to the green garbage dumps,
1,go straight and stop before the intersection,go straight,stop before the intersection
2,go straight and stop next to the grey arch,go straight,stop next to the grey arch
3,go straight and stop next to the entrance of the building,go straight,stop next to the entrance of the building
4,take a left and stop before the bus stop,take a left,stop before the bus stop
5,drive to the intersection and turn left,drive to the intersection,turn left
6,wait for the signal to turn green and then turn left,wait for the signal to turn green,turn left
7,park near that blue dustbin you see on the right,park near that blue dustbin you see on the right,
8,go straight and stop near the red coloured wall,go straight,stop near the red coloured wall
9,stop next to the bus stop,stop next to the bus stop,
10,go straight and stop at the intersection,go straight,stop at the intersection
11,wait for the light then turn right,wait for the light then turn right,
12,wait at the traffic light then go straight,wait at the traffic light then go straight,
13,stop just before the bike,stop just before the bike,
14,drive straight and stop when you encounter a parked car,drive straight,stop when you encounter a parked car
15,stop before the bus station on the right,stop before the bus station on the right,
16,park in front of the second car which you see,park in front of the second car which you see,
17,park behind the purple car,park behind the purple car,
18,wait for the light then take a left turn,wait for the light then take a left turn,
19,wait for the light then take a left turn,wait for the light then take a left turn,
20,go straight and shift to the right lane,go straight,shift to the right lane
21,turn right and stop near the first shop,turn right,stop near the first shop
22,shift to the left lane and stop at the intersection,shift to the left lane,stop at the intersection
23,change lanes and stop at the intersection,change lanes,stop at the intersection
24,change lanes and take a left from the intersection,change lanes,take a left from the intersection
25,go straight and stop next to the red store,go straight,stop next to the red store
26,turn right and stop near the bus stop,turn right,stop near the bus stop
27,stop near the food carts,stop near the food carts,
28,stop right after the bus stop,stop right after the bus stop,
29,drive towarsd the bus stop and then turn right,drive towards the bus stop,turn right
30,park near the first bike you see,park near the first bike you see,
31,go straight and park in front of the house,go straight,park in front of the house
32,"from the intersection, continue straight","from the intersection, continue straight",
33,take the road on the left,take the road on the left,
34,turn right when the traffic signal shows green,turn right when the traffic signal shows green,
35,wait for the signal to turn green and then turn right,wait for the signal to turn green,turn right
36,go straight and stop before the traffic light,go straight,stop before the traffic light
37,go straight and stop next to the red car,go straight,stop next to the red car
38,stop near the bus stop,stop near the bus stop,
39,move straight and stop in front of the traffic light,move straight,stop in front of the traffic light
40,wait for the traffic light then take a right,wait for the traffic light then take a right,
