,,Conv3D,Conv3D,Conv3D,VIT,VIT,VIT
Measure,,Mean,Median,STD,Mean,Median,STD
Target Type,Metric,,,,,,
infrastructure,ADE,11.621,7.285,14.301,32.784,6.536,46.145
infrastructure,ADE Match,4.837,1.129,10.656,26.847,3.017,44.472
infrastructure,FDE,16.792,9.44,19.272,55.207,12.044,70.361
infrastructure,Frechet,16.807,9.44,19.259,64.845,12.044,85.244
road/traffic light,ADE,8.858,4.601,9.154,20.134,6.359,32.036
road/traffic light,ADE Match,4.211,1.071,6.938,14.289,1.716,29.586
road/traffic light,FDE,15.635,7.521,19.475,33.312,12.694,37.973
road/traffic light,Frechet,15.635,7.521,19.475,38.849,12.694,53.439
automobile,ADE,10.575,8.32,4.971,19.241,8.505,21.296
automobile,ADE Match,4.154,2.162,5.291,14.061,4.605,20.666
automobile,FDE,25.478,13.31,34.689,47.479,22.171,45.582
automobile,Frechet,25.478,13.31,34.689,47.479,22.171,45.582
